iter	Passed	Remaining
0	1	137
1	2	133
2	3	126
3	4	119
4	6	119
5	7	118
6	8	118
7	10	119
8	11	118
9	13	118
10	14	116
11	15	115
12	17	115
13	18	113
14	19	112
15	21	111
16	22	110
17	23	109
18	25	108
19	26	106
20	28	106
21	29	104
22	30	103
23	32	101
24	33	100
25	34	99
26	36	97
27	37	96
28	39	95
29	40	94
30	41	93
31	43	91
32	44	90
33	45	88
34	47	87
35	48	86
36	49	84
37	50	83
38	52	81
39	53	80
40	54	79
41	55	76
42	56	75
43	58	74
44	59	72
45	60	71
46	62	70
47	63	68
48	64	67
49	66	66
50	67	65
51	69	63
52	70	62
53	72	61
54	73	59
55	74	58
56	76	57
57	77	56
58	78	54
59	80	53
60	81	52
61	83	51
62	84	49
63	86	48
64	87	47
65	89	45
66	90	44
67	91	43
68	93	41
69	94	40
70	95	39
71	97	37
72	98	36
73	100	35
74	101	33
75	103	32
76	104	31
77	105	29
78	107	28
79	108	27
80	110	25
81	111	24
82	112	23
83	114	21
84	115	20
85	117	19
86	118	17
87	119	16
88	121	14
89	122	13
90	124	12
91	125	10
92	126	9
93	128	8
94	129	6
95	130	5
96	132	4
97	133	2
98	135	1
99	136	0
